variant_id,product,variant,sku,qty
129,Jama 85 хар захтай хантааз,,,
135,Pama61 хөх цацруулагчтай өмд,,,
136,Pama63 саарал хартай өмд,,,
113,S4 бэйж бор хослол,,,
111,S4 ногоон хослол,,,
117,S4 поло неон фодволк,,,
118,S4 поло оранж фодволк,,,
119,S4 поло саарал хөх фодволк,,,
110,S4 саарал оруулгатай хар хөх хослол,,,
112,S4 хар саарал хослол,,,
99,SAFETOE H-9437 бор түрийтэй,,,
100,SAFETOE H-9438 хар израйл,,,
101,SAFETOE H-9552 BR бор 4 улирал,,,
102,SAFETOE L-7525super борботинк,,,
96,SAFETOE L-7571 пүүзэн,,,
93,SAFETOE M-8025FM эмэгтэй,,,
95,SAFETOE M-8025NBLG-BL-хар үдээсгүй,,,
94,SAFETOE M-8025NBLG-Y шар үдээсгүй,,,
98,SAFETOE M-8387 хар гагнуур,,,
97,SAFETOE M-8577 BR бор цахилгаантай,,,
92,SAFETOE М-8025NB бор үдээсгүй,,,
103,SAFETOE М-85,,,
131,jama 130  бэйж ногоон хантааз тортой,,,
132,jama 130  хар хантааз тортой,,,
133,jama 39 цахилгаантай цамц саарал,,,
134,jama 39 цахилгаантай цамцногоон,,,
130,jama 85 бор  захтай хантааз,,,
126,бомбер даавуун,,,
106,бээлийний хавчаар,,,
105,духны гэрэл,,,
107,жинс өмд,,,
114,плийс цамц,,,
123,сорочка  цайвар  шар,,,
120,сорочка улаан,,,
121,сорочка хөх,,,
124,сорочка цэнхэр,,,
122,сорочка шар,,,
125,сорочка ягаан,,,
1,тест1,,,
116,уурхайн ногоон хартай куртик,,,
115,уурхайн оранж цамц,,,
127,хантааз неон нимгэн торон,,,
128,хантааз оранж нимгэн торон,,,
104,ханцуйвч,,,
108,хөх 1 канттай даавуун өмд,,,
109,хөх 2 канттай нимгэн даавуун өмд,,,
